ID_TA,Number of Reviews
d8286886,1
d13202032,6
d7124128,2
d12032989,1
d10088997,1
d12644341,2
d12204689,14
d4802788,1
d12530776,9
d753088,1
d12953643,1
d1114749,1
d11804444,2
d5244329,1
d13326576,12
d11992842,2
d11670765,1
d12654166,3
d7287872,5
d8364955,1
d6354125,1
d7123259,1
d7297021,1
d12811941,1
d12362395,1
d12454145,3
d8530002,1
d13224191,9
d12151343,1
d13078737,1
d12145892,4
d12662018,1
d11650889,1
d12516807,1
d4769786,4
d7701632,1
d7123376,1
d12437853,1
d12079826,5
d12434687,2
d12598927,26
d1320175,1
d10755939,1
d11952841,1
d13167715,3
d5506579,2
d8802169,1
d5262443,1
d10138414,2
d5521656,1
d5519325,1
d10054994,1
d5792596,1
d12395867,2
d7124372,1
d5795667,1
d5513738,3
d12611067,1
d7234492,1
d13223254,5
d10375857,1
d10517399,1
d10521562,1
d10483786,1
d8857538,1
d7194365,1
d12998030,3
d12224017,1
d13168228,3
d12988669,43
d815943,2
d5872661,1
d9743120,1
d5122301,1
d11737024,2
d6404771,1
d986295,1
d12119212,4
d7124461,1
d13144667,4
d7953648,8
d4107727,2
d717315,1
d8339185,1
d10075998,3
d13326457,2
d13001248,44
d9791243,1
d4925466,2
d12550266,2
d8003101,1
d7714708,1
d9809531,3
d12510178,1
d13150803,4
d5794686,2
d4973227,1
d11649922,6
d12049182,4
d13205852,103
d8436649,1
d11735169,6
d11824935,1
d12999736,17
d5794487,3
d13171395,5
d11905348,1
d6364123,1
d2618137,1
d5776462,1
d4272054,1
d12194116,6
d5889207,2
d6366359,1
d12880824,3
d8448633,1
d11702322,2
d6529285,1
d13328807,4
d13220849,1
d8644712,1
d8124590,1
d12874859,5
d1044643,1
d10467114,3
d12627228,1
d7123818,1
d5864074,2
d4942699,1
d10027603,1
d7303419,1
d997707,1
d13172244,10
d10276045,1
d12658748,3
d6612529,1
d12106062,1
d13138968,34
d10140450,1
d13298310,8
d12277428,2
d12954707,6
d1739079,1
d4769119,1
d13125004,1
d5491214,1
d12896074,3
d7953641,2
d5798049,1
d5814521,2
d8339928,3
d7002384,1
d5489774,1
d7124138,32
d3213742,1
d7277848,2
d5767984,1
d5616673,1
d4185368,1
d12860798,1
d13010552,12
d8339926,1
d13292592,1
d11918250,2
d1044135,1
d8733614,1
d6394921,1
d10372057,1
d11711683,1
d11812614,1
d4844269,1
d4769905,6
d12736481,16
d8598311,1
d6637445,1
d11714897,1
d10547286,3
d8073799,1
d12790553,3
d13076001,7
d8428726,1
d9806573,4
d12839566,1
d11895630,3
d1332252,1
d7626335,1
d11547074,1
d7123450,1
d10394129,6
d10628468,3
d12334550,2
d7303629,1
d7898991,1
d12978001,6
d12600421,1
d4104485,1
d5616316,1
d967170,1
d5779772,1
d13416641,5
d2006091,1
d13008894,19
d10382095,2
d12813995,2
d5048797,1
d12658197,7
d4759379,1
d13235156,9
d10167698,1
d12235071,5
d8813086,1
d4468021,1
d12319729,25
d7817530,1
d10802112,2
d12951895,1
d12295661,2
d12641017,9
d7035214,3
d3389799,1
d5816314,5
d12638000,9
d12151589,1
d12503234,8
d5776155,1
d5430553,1
d731403,2
d10664983,2
d12644968,2
d12071943,1
d8340829,2
d12817078,5
d12951652,3
d5518431,3
d10794456,2
d7751487,1
d6123515,1
d8871018,1
d4770231,1
d7123982,1
d7995084,1
d12447458,1
d13164397,12
d13322859,2
d7124143,2
d13228347,1
d12010794,1
d11847899,1
d10319682,3
d7779387,2
d5889347,1
d10669908,1
d12408044,1
d4041042,2
d10838358,1
d991347,1
d7274414,1
d10777665,1
d12818846,5
d2149259,3
d10106916,1
d12885165,2
d7123979,1
d2308767,2
d5122157,1
d12675077,1
d13277645,198
d12977600,5
d7242801,1
d7803394,1
d8669535,3
d12869856,13
d1044965,1
d1357259,1
d1947786,1
d1346218,1
d12030280,2
d13206805,15
d8277409,1
d12407258,5
d12232818,3
d2691365,1
d13125259,9
d1098661,1
d12338007,1
d13223572,29
d1233812,1
d13207408,17
d1153485,1
d5122031,7
d12509173,1
d12636067,7
d10028664,2
d12816981,1
d7799141,2
d9764067,1
d11492257,1
d695163,3
d8630276,1
d7123669,2
d12741904,3
d13173474,1
d3419895,1
d807021,1
d8571953,1
d8097661,1
d8625379,1
d5667613,1
d5447664,1
d5513637,1
d11638928,2
d1341218,2
d8317788,1
d9778442,2
d12360369,2
d8538321,5
d2386617,1
d12150298,1
d8516779,1
d12999215,14
d11855348,1
d3736559,3
d12690823,4
d12702495,3
d5801542,1
d4793670,3
d12843332,10
d4769113,3
d12155617,2
d12322378,2
d8568801,1
d11435573,2
d11762915,4
d12883497,2
d8612503,1
d12999712,5
d12718623,5
d11803552,1
d9789750,3
d12982080,9
d9858112,1
d11979164,90
d13279644,1
d3255251,1
d11775599,1
d10254501,1
d11993918,1
d12438436,2
d12079994,2
d5959913,1
d7023432,3
d12441874,11
d1045655,1
d7124547,1
d4793532,4
d1045016,1
d8836176,1
d3242352,1
d12687081,2
d6002377,1
d4295285,1
d12610981,7
d1034850,1
d1360715,3
d8779158,1
d12800977,2
d9563567,1
d5986223,2
d12848330,5
d5873391,1
d12842681,25
d5814968,1
d991076,1
d7144321,2
d12709056,1
d10154475,1
d3693120,1
d12968093,3
d719007,2
d8339680,1
d11754699,1
d13234486,2
d12358876,6
d10793090,1
d13008726,18
d12593283,6
d4493631,1
d5526124,1
d12671327,7
d12338543,2
d809226,2
d10832789,2
d2643443,1
d6816839,1
d13091986,13
d11825506,1
d12225612,2
d9720461,1
d11932910,2
d12998649,166
d5818231,1
d12790648,2
d12623089,1
d12404168,2
d7320818,1
d13391926,3
d7124293,1
d12567720,14
d10230176,1
d12190119,1
d5575153,1
d4164781,1
d7715584,1
d11773975,1
d12789888,5
d12296416,2
d3709421,2
d13205700,1
d10294046,2
d12523892,2
d2055698,2
d7124355,2
d12884238,1
d12714120,10
d12690811,2
d12453988,1
d12689621,4
d12423389,3
d5615985,1
d694429,1
d4277605,1
d12790155,1
d12996991,3
d5616972,1
d13389892,310
d11844664,1
d7692957,1
d11698800,1
d4770177,2
d998036,1
d12111251,3
d991465,2
d11876813,1
d12502429,5
d5798993,3
d12989071,4
d793314,1
d12691934,2
d12347449,3
d6959833,2
d5606649,2
d10389453,1
d12550580,3
d12333763,2
d3648655,1
d988103,1
d11956653,7
d12091118,113
d12902828,1
d4925008,1
d4769175,1
d4283300,1
d1792283,1
d5959090,1
d12926331,2
d2012775,1
d5443126,1
d11796028,1
d7246424,1
d12315298,3
d7123878,2
d10621309,2
d12947701,6
d7222895,5
d4736680,1
d5614735,1
d12516040,3
d12659306,5
d13316619,1
d12526154,12
d13282793,1
d11977755,1
d7021742,1
d12880689,2
d10783829,1
d8602347,2
d12598511,9
d1337300,1
d11868688,8
d12133777,10
d13140280,18
d4872822,1
d13219093,81
d8339582,2
d8545938,1
d1341434,1
d9561767,1
d12431282,2
d12246026,1
d5893445,2
d12115875,4
d5487248,1
d983442,1
d12506182,4
d7795766,2
d12972100,1
d2248859,1
d7691362,3
d13005314,1
d12435055,1
d10109006,1
d13329521,1
d7732833,1
d10097642,1
d5884720,1
d12997793,23
d3526688,1
d7123276,1
d10364907,3
d3488696,1
d12327968,1
d754608,1
d11977726,1
d2459488,1
d7612377,1
d11971154,1
d2440450,1
d7208278,1
d12682442,1
d10373602,2
d7334246,1
d12347687,12
d1359405,1
d12503274,7
d12904954,8
d11256345,2
d1359623,1
d12141488,1
d10513305,1
d12691304,2
d5810024,1
d13228916,23
d4373191,2
d8744282,1
d10235245,2
d13287896,26
d4176407,1
d7380562,1
d8672779,1
d10351537,1
d7219269,1
d5965095,1
d12709090,626
